Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 06/26  20:00:00,23.07656664635406,23.127550896793498,23.349805789785165,23.155002235319945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  21:00:00,23.241517292110288,23.308693815284435,23.47777128511551,23.315430892013715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  22:00:00,23.47177102971922,23.492298381056898,23.666664383529948,23.54964813253562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  23:00:00,22.841826171408428,22.95456115933362,22.56739619685719,22.964973704514446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  24:00:00,23.021271102618876,23.044029642441295,23.618036675033824,23.140466725553996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  01:00:00,23.441022500522106,23.5308300710335,23.815517412853136,23.552117026509794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  02:00:00,23.605597601241822,23.753925524076973,21.867335651643952,23.711516983130032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  03:00:00,23.6149541833128,23.7950446362374,22.930820671545316,23.701222043841906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  04:00:00,23.57899659466277,23.779365651514944,23.205197600667045,23.66319423184136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  05:00:00,23.55096688276328,23.7652530018915,23.32380893386992,23.6349470639296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  06:00:00,23.611275634519398,23.827418758135515,23.439466687661906,23.679553127385258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  07:00:00,23.773802610978922,23.11696608923969,23.664877569645377,23.717085781143798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/27  08:00:00,23.79464039265342,23.71858212935627,23.72134662672521,23.70158085731257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
