,Unnamed: 0,Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),Source,Month,count
20,8, September,518.3333333333335,576.3333333333335,502.66666666666686,557.6666666666667,525.1666666666667,532.8333333333334,598.8333333333333,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,127752829.48942904,309542811.32957184,55877945.38349915,64612074.21746976,74424932.14992037,277667675.98884225,19557094.755883124,60415124.04919574,13200705.653130837,212974123.9788252,13359028.871355472,145701064.6817137,5523873.717777252,42860135.2099412,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, September,1
21,9, October,576.5000000000001,625.6666666666667,568.0000000000001,636.1666666666667,569.0,586.6666666666667,655.3333333333333,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,189818337.48479733,171604038.12755322,94225557.06523398,34396438.78181493,150143833.66033074,161949299.08447504,41472091.87172526,33948588.64433211,44843096.98269744,102694619.54689103,33075276.152581964,69471026.24583025,16709525.832377946,18278473.474019103,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, October,1
22,10, November,572.5,605.3333333333333,564.9999999999998,629.333333333333,543.3333333333335,561.8333333333334,619.3333333333334,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,393025236.3731936,46365204.0329075,164652129.3046383,6147052.320973875,308252273.1427252,48347147.18187348,84686667.98562998,8727758.198902562,154437309.63656175,23349224.58481651,103722744.71758772,16354112.182886776,53153200.632631816,2171644.678866751,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, November,1
23,11, December,591.6666666666664,613.6666666666666,590.6666666666664,648.6666666666665,568.5,581.9999999999999,625.3333333333331,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,663299770.2807869,6253054.753372291,240268955.28909588,0.0,486570210.62855226,9100575.445155678,134230050.57369494,150314.9113814898,326163835.1671546,4571019.368350863,223033040.8575451,2835693.514656747,107833727.65382108,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, December,1
24,0, January,572.6666666666666,582.8333333333335,584.4999999999999,619.6666666666665,550.4999999999998,555.3333333333334,574.0,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,819593614.5631062,1440539.2938077785,292924297.63692635,0.0,591423325.1398329,1820834.3877581751,164673615.46795824,8697.803908489885,416865813.2226094,1194454.394182416,293503765.5758208,703500.9753924957,141525597.28531218,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, January,1
25,1, February,546.1666666666667,561.3333333333333,548.4999999999998,593.9999999999998,527.8333333333334,534.8333333333334,571.9999999999999,8.811700000000124,2.191250000000017,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000055,567510441.4196143,12124944.014601318,201054498.4771421,26774.97044187085,397469027.3830767,17905140.40915932,110892969.8168963,969910.7063391733,271716557.0367822,15212817.60848116,197598581.1906639,8031708.958509297,93958760.74907625,282891.6915583105,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, February,1
26,2, March,600.1666666666665,641.3333333333334,619.6666666666667,668.333333333333,605.4999999999998,603.9999999999999,656.3333333333333,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,453122275.3063064,51687829.83673451,161290495.35165244,6040847.7734081205,290011339.18729264,56616435.339507535,80210128.60871969,8013709.50167753,168965172.98305103,39320323.27580255,132997409.3349786,24692266.872520488,62532697.418377,3954278.4519279497,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, March,1
27,3, April,560.8333333333333,620.5,548.8333333333331,600.6666666666666,567.1666666666669,576.833333333333,639.8333333333334,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,161002340.11005062,177327579.13999516,60804407.817186296,28382604.18483612,86538161.99347347,166311135.6826682,22619919.29609944,31371388.01624991,22705836.080153912,148445796.02934793,21399839.36209448,98291364.57022049,8700387.376636082,24036219.2965416,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, April,1
28,4, May,536.0000000000003,570.1666666666665,490.666666666667,518.0000000000005,527.1666666666667,548.6666666666667,595.3333333333331,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,41626102.92965234,411421628.0033139,12788660.882729102,93872497.17839336,9481734.514243104,369738923.6440019,2320117.7003828627,81246722.8852623,1886805.192604581,334285130.3607048,3026294.56407153,217609151.512944,1226226.7665692118,68635489.8705676,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, May,1
29,5, June,465.1666666666669,465.00000000000045,411.3333333333336,411.3333333333336,438.1666666666671,468.0000000000002,474.5000000000003,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,8111308.653543329,776884149.9408009,1289299.1290670028,173976606.52136362,0.0,642870850.8535042,0.0,142364276.2532117,0.0,632827883.841751,0.0,416514469.21652776,0.0,133083093.35332456,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp245-2050.csv, June,1
