Date/Time,PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](Hourly)
 01/08  20:00:00,0.048513040174001337,0.037565380772585168
 01/08  21:00:00,0.022227456065924537,0.04207913594308314
 01/08  22:00:00,-0.05833738300544529,0.005145269628109258
 01/08  23:00:00,-0.15267050611129102,-0.05521828570391577
 01/08  24:00:00,-0.2460446998558945,-0.12220383970904625
 01/09  01:00:00,-0.3367590404035662,-0.19224131896451225
 01/09  02:00:00,-0.4214889435331224,-0.2606677333273042
 01/09  03:00:00,-0.48940700130916589,-0.32354486738328427
 01/09  04:00:00,-0.5121363877867177,-0.38943435441859688
 01/09  05:00:00,-0.5135439959006097,-0.45837600254457486
 01/09  06:00:00,-0.5111476772509213,-0.5045900472565964
 01/09  07:00:00,-0.5083155885461512,-0.5119057180185199
 01/09  08:00:00,-0.44839588617597728,-0.43461008760677519
 01/09  09:00:00,-0.35870309537006508,-0.3087139304607786
 01/09  10:00:00,-0.17577298561803646,-0.05844398822653033
 01/09  11:00:00,0.0554615348883867,0.16447219721215618
 01/09  12:00:00,0.13659846789048453,0.1874870004876491
 01/09  13:00:00,0.11985929877754906,0.14526177310717085
 01/09  14:00:00,0.11391285203980235,0.12483062309180762
 01/09  15:00:00,0.13384949840383907,0.1297368698646421
 01/09  16:00:00,0.1413282960386222,0.12409467068566556
 01/09  17:00:00,0.12073890374809437,0.09333395875519565
 01/09  18:00:00,0.07841635707218489,0.04379422414513941
 01/09  19:00:00,0.04849622146515513,0.019387559286322306
 01/09  20:00:00,0.04360309121797842,0.032089906366272267
 01/09  21:00:00,0.01923679997485859,0.03961207143667389
 01/09  22:00:00,-0.03599674825105746,0.028555355244837066
 01/09  23:00:00,-0.09151745299188802,0.006154586779330017
 01/09  24:00:00,-0.17325159685253439,-0.04858147583135477
 01/10  01:00:00,-0.26168900866293029,-0.11551935378098273
 01/10  02:00:00,-0.3315101959980996,-0.1695052685035035
 01/10  03:00:00,-0.4148734998522414,-0.23971474133610724
 01/10  04:00:00,-0.4725507968951786,-0.28771698166398626
 01/10  05:00:00,-0.5019051822101422,-0.3189752494528728
 01/10  06:00:00,-0.5088623727753292,-0.3584836024518884
 01/10  07:00:00,-0.5093393902286703,-0.40786471435715956
 01/10  08:00:00,-0.43036888060919206,-0.34917762471218358
 01/10  09:00:00,-0.30105822655026689,-0.19617444120846409
 01/10  10:00:00,-0.08619157235487664,0.05825989425389415
 01/10  11:00:00,0.11659309537909699,0.19237228105661209
 01/10  12:00:00,0.1422042002665492,0.18238726116489008
 01/10  13:00:00,0.11734273491103786,0.13810604827713952
 01/10  14:00:00,0.10891102696801687,0.11912035007586945
 01/10  15:00:00,0.12826623078757633,0.1250049914073455
 01/10  16:00:00,0.13669949106491703,0.12044783659685951
 01/10  17:00:00,0.11817317030734669,0.09082277848579276
 01/10  18:00:00,0.078566995576624,0.043904081010254
 01/10  19:00:00,0.05129673271572592,0.022605896203628335
 01/10  20:00:00,0.04905252778214848,0.03694540267422371
 01/10  21:00:00,0.05006346442982721,0.056953627563204507
 01/10  22:00:00,0.023840250510236865,0.06785524407718785
 01/10  23:00:00,-0.02421849430423565,0.0561096659386419
 01/10  24:00:00,-0.08918772819976308,0.0204609559496529
 01/11  01:00:00,-0.1665894512950659,-0.03357285333946498
 01/11  02:00:00,-0.2509591102799965,-0.09975937632946463
 01/11  03:00:00,-0.3353129306477343,-0.17014182819745955
 01/11  04:00:00,-0.4193078564395213,-0.2432010500356967
 01/11  05:00:00,-0.4909857656521419,-0.3173987174347711
 01/11  06:00:00,-0.5118435741832308,-0.3904890280934323
 01/11  07:00:00,-0.5116031370114026,-0.4591887078493886
 01/11  08:00:00,-0.4380114553031634,-0.4036108442465497
 01/11  09:00:00,-0.32230816629036659,-0.255313672368087
 01/11  10:00:00,-0.11667843291302342,0.007272555239984051
 01/11  11:00:00,0.10284629455523728,0.1837557724667239
 01/11  12:00:00,0.14196767992051705,0.1845872725372711
 01/11  13:00:00,0.11899749693207088,0.14082852127645449
 01/11  14:00:00,0.11125298761254217,0.12129812882846143
 01/11  15:00:00,0.13082629077685432,0.12731645757819147
 01/11  16:00:00,0.13869490214998199,0.12295731083205927
 01/11  17:00:00,0.11967730318880239,0.09269475003022219
 01/11  18:00:00,0.07871232209817938,0.044324070981412517
 01/11  19:00:00,0.04912417528848383,0.019970143728024877
 01/11  20:00:00,0.042651834846033378,0.030415946864546414
 01/11  21:00:00,0.016480382411423339,0.036302638237161979
 01/11  22:00:00,-0.056844280972700559,0.00857115374413699
 01/11  23:00:00,-0.13472344793865585,-0.03547453616919406
 01/11  24:00:00,-0.2085775587148826,-0.08333255963516542
 01/12  01:00:00,-0.2762940985170847,-0.13109227110283395
 01/12  02:00:00,-0.339635130360583,-0.1790735273526894
 01/12  03:00:00,-0.4037823688657432,-0.23118391446335127
 01/12  04:00:00,-0.46843569599374126,-0.287062169679069
 01/12  05:00:00,-0.5063772549524821,-0.3465025210932995
 01/12  06:00:00,-0.5122247792030676,-0.40928564149178128
 01/12  07:00:00,-0.5112079439988854,-0.47300798249153566
 01/12  08:00:00,-0.5096262239489429,-0.5076027884684704
 01/12  09:00:00,-0.5019611871668965,-0.5035929238609046
 01/12  10:00:00,-0.4606905694430473,-0.4153095654096597
 01/12  11:00:00,-0.3946928112963027,-0.2044436417372572
 01/12  12:00:00,-0.2822975158478883,0.06313076967379559
 01/12  13:00:00,-0.17823317212335694,0.1404547031171712
 01/12  14:00:00,-0.07904919318279516,0.13299790560995676
 01/12  15:00:00,0.056128892320452598,0.13399205294352863
 01/12  16:00:00,0.1357192322232392,0.1255277928935714
 01/12  17:00:00,0.1264395266035033,0.09415042199193051
 01/12  18:00:00,0.08423994252366846,0.04620218751418561
