Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 03/27  09:00:00,16.64215140027008,18.32556777476947,19.470643659989538,17.54260687448294,0.0,0.0,15.506047089902204,0.0,2403.9628249325824,5643.854919420363,301.64436900669847,2715.662974251346 
 03/27  10:00:00,17.961308100764718,20.429087645680873,20.791616855927664,18.04362722370967,0.0,662.3700321702916,656.4016133627508,0.0,2296.6389878766663,0.0,0.0,2763.1670444560004 
 03/27  11:00:00,17.954137004201215,20.792535731056667,20.7935081766244,18.541553543416182,0.0,1369.4914541925116,1035.3034541349805,70.14141755614602,2300.6620129015573,0.0,0.0,2676.8557957730063 
 03/27  12:00:00,17.52335405288745,20.792848103140358,20.796458339211668,20.786996740627178,0.0,1349.0062595705785,1228.103005521249,527.8160243431271,2340.454208471237,0.0,0.0,0.0 
 03/27  13:00:00,19.639178403917242,20.804303647898102,20.802099570487325,20.81121731303045,32.43056304664043,1874.072143941073,1558.5594109130907,911.0582530834213,0.0,0.0,0.0,0.0 
 03/27  14:00:00,20.882563581754837,20.960532897991833,20.922687481717904,20.91123305128342,486.930875708161,2790.12194413292,2163.099934823338,1240.4178720815219,0.0,0.0,0.0,0.0 
 03/27  15:00:00,21.017884502325742,20.972108317330463,20.979692253728906,20.8799489147137,777.6060382734003,3297.846235844547,2611.995137019372,1339.958934097061,0.0,0.0,0.0,0.0 
 03/27  16:00:00,20.842856054821763,20.67413815488308,20.822340543936164,20.701908960125657,715.6420139430959,2604.5362739320362,2491.85353441231,1147.063988285194,0.0,0.0,0.0,0.0 
 03/27  17:00:00,20.69055243168888,20.571415763434146,20.674076681602934,20.59816457362995,471.22145381904164,1714.3569133990652,1899.4277252749444,819.3994661801742,0.0,0.0,0.0,0.0 
 03/27  18:00:00,20.643997914618033,20.595457427574768,20.62778646242578,20.60338659483737,219.1570537594093,989.9896524893782,1277.9309751123806,524.0338354585475,0.0,0.0,0.0,0.0 
